ATM_Address,ATM_City_State,Merchant_Category,Merchant_Name,Transaction_Code,Transaction_Code_Description,Transaction_Type,Transaction_Type_Description,Transaction_Number,Amount_Completed,Transaction_Date,Time_Local_hhmmss,Recurring_Trxn,CustomerID
HANNAFORD #8358 520,RUMFORDME,5411,HANNAFORD #8358,20,POS Debit        Pri,P,Pinned Settlements  ,81,116.46,2025-11-23,163941, ,BSB189410
1600 WOODBURY AVE,PORTSMOUTHNH,5411,WHOLEFDS PNH#107,0,POS Debit        Pri,P,Pinned Settlements  ,99,41.93,2025-12-19,160200, ,BSB356754
HANNAFORD #8287 33,CHINAME,5411,HANNAFORD #8287,20,POS Debit        Pri,P,Pinned Settlements  ,65,8.15,2025-11-22,171838, ,BSB153866
93 MAIN ST,BELFASTME,5812,ALEXIA S PIZZA,0,POS Debit        Pri,P,Pinned Settlements  ,4,15.92,2025-12-18,163314, ,BSB151119
1991 P J ADAMS PKWY,CRESTVIEWFL,5310,DOLLAR GENERAL #,0,POS Debit        Pri,P,Pinned Settlements  ,72,4.23,2025-12-21,144033, ,BSB051136
SHELL,MEXICOME,5542,SHELL SERVICE S,20,POS Debit        Pri,P,Pinned Settlements  ,2,29.15,2025-11-23,172100, ,BSB063926
615 WILTON RD,FARMINGTONME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,17,3.09,2025-11-22,132549, ,BSB063926
10 CONCOURSE W,WATERVILLEME,5931,GOODWILL WATERVI,20,POS Debit        Pri,P,Pinned Settlements  ,36,7.91,2025-11-23,145404, ,BSB129462
GOOGLE *DRAMABOX ST,MOUNTAIN VIEWCA,5734,GOOGLE *DRAMABOX,20,POS Debit        Pri,P,Pinned Settlements  ,31,18.98,2025-11-22,114024, ,BSB189410
150 MAIN ST,BELFASTME,5331,FAMILY DOLLAR,0,POS Debit        Pri,P,Pinned Settlements  ,91,3.69,2025-12-21,90519, ,BSB421149
HANNAFORD #8173 383,BREWERME,5411,HANNAFORD #8173,20,POS Debit        Pri,P,Pinned Settlements  ,20,330.01,2025-11-22,92141, ,BSB321096
1022 WESTERN AVE,MANCHESTERME,5310,DOLLAR GENERAL #,0,POS Debit        Pri,P,Pinned Settlements  ,27,4.22,2025-12-20,170339, ,BSB489769
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*B06PR,20,POS Debit        Pri,P,Pinned Settlements  ,64,14.02,2025-11-23,173501, ,BSB321096
HANNAFORD #8287 33,CHINAME,5411,HANNAFORD #8287,20,POS Debit        Pri,P,Pinned Settlements  ,31,42.46,2025-11-22,135924, ,BSB153866
10 E SCHOODIC DR,BIRCH HARBORME,5541,MC S MARKET PL,0,POS Debit        Pri,P,Pinned Settlements  ,16,73.98,2025-12-18,151300, ,BSB286192
