gender,age
 ,45
F,37
 ,64
M,70
M,50
M,42
F,6
M,8
F,49
 ,57
M,50
F,77
M,51
M,48
 ,15
F,72
M,44
 ,23
M,20
 ,16
M,45
M,28
M,33
F,11
M,43
 ,42
 ,19
F,18
 ,19
F,31
F,16
F,50
F,77
M,66
M,8
M,28
 ,17
M,37
F,33
M,48
F,8
F,25
F,22
F,18
F,19
 ,48
M,85
M,50
 ,28
F,21
M,28
F,35
F,20
M,21
M,21
 ,65
 ,42
F,31
M,18
 ,36
F,37
M,16
F,20
 ,20
 ,27
 ,57
M,18
M,30
F,18
F,26
F,19
F,25
F,60
 ,39
F,23
M,35
 ,44
 ,16
F,22
M,25
M,22
F,71
M,17
F,30
 ,26
F,25
M,48
F,47
 ,44
F,22
 ,55
 ,32
F,10
M,61
M,29
M,4
F,63
M,19
 ,87
M,27
F,44
M,38
M,53
F,48
M,25
 ,35
M,37
M,64
F,29
M,18
F,19
M,35
 ,47
 ,63
F,69
 ,71
M,13
M,61
 ,56
F,50
 ,52
 ,28
F,68
F,70
M,39
 ,32
M,30
M,22
M,62
M,32
M,12
M,42
F,43
F,24
 ,10
F,27
M,33
M,62
F,55
 ,52
F,41
 ,22
M,35
 ,47
 ,34
M,42
M,79
 ,27
M,26
 ,33
F,14
 ,29
M,32
M,63
M,48
M,20
M,72
 ,3
 ,45
 ,4
F,60
M,34
 ,59
M,43
F,26
F,30
M,57
 ,52
 ,61
M,28
 ,22
 ,66
 ,59
 ,36
 ,64
M,63
 ,38
M,20
M,38
M,29
F,35
 ,28
 ,45
M,13
 ,27
 ,2
F,61
F,59
 ,20
F,28
 ,30
F,19
M,52
M,46
F,23
 ,33
M,58
 ,25
M,65
F,15
F,64
 ,28
M,72
F,40
M,39
F,19
M,57
 ,30
F,81
 ,17
M,68
F,14
M,28
M,14
F,50
F,56
F,70
 ,45
 ,51
 ,56
F,37
F,45
 ,39
F,33
 ,37
 ,34
M,68
F,19
M,16
M,32
M,14
M,25
 ,77
 ,61
 ,35
 ,41
M,34
M,29
M,48
 ,46
F,60
F,60
M,21
 ,32
 ,25
M,22
M,49
F,26
M,18
 ,22
 ,50
F,17
M,12
 ,18
 ,25
F,44
M,17
M,24
M,41
M,34
F,17
M,56
F,71
 ,37
 ,54
M,22
F,81
F,36
M,29
F,21
M,19
F,55
M,54
F,40
M,44
 ,63
 ,60
M,36
M,2
M,64
M,18
F,52
F,74
 ,66
M,20
M,19
 ,6
M,68
M,48
F,63
M,41
M,17
 ,51
F,53
 ,2
 ,45
 ,18
 ,51
F,11
M,68
M,57
 ,77
 ,69
 ,9
 ,12
 ,23
M,53
M,70
 ,34
F,18
M,17
F,22
M,25
F,3
 ,48
F,63
 ,41
 ,68
M,11
M,18
 ,30
F,8
M,5
F,20
 ,15
F,20
F,21
F,30
 ,32
 ,5
F,56
M,57
 ,36
 ,56
 ,42
 ,28
M,68
F,4
M,11
M,61
F,38
M,76
M,37
M,74
 ,39
F,13
M,42
M,25
M,60
M,26
 ,47
M,18
F,21
F,62
F,22
M,40
 ,54
F,28
 ,18
M,57
M,77
F,68
F,31
 ,23
M,51
F,48
M,38
 ,57
M,26
M,19
 ,27
F,63
F,60
F,21
 ,44
F,28
M,25
 ,31
F,26
 ,74
 ,34
 ,31
F,55
F,74
F,36
F,25
F,13
 ,74
 ,19
M,36
 ,75
F,63
F,10
