city,state,transaction_count,total_spend,unique_customers
BANGOR,ME,280491,14181339.99,18399
SEATTLE,WA,216534,8758462.46,24199
PORTLAND,ME,124256,5941808.2,13550
8558124430,NY,43079,5857181.54,8114
AUGUSTA,ME,81322,5618829.71,15124
BREWER,ME,79428,4112904.02,9659
SAN FRANCISCO,CA,85349,3628895.48,13586
WATERVILLE,ME,70279,3521357.26,7649
BENTONVILLE,AR,40773,3132289.96,8397
SOUTH PORTLAN,ME,46087,3007852.09,9762
BELFAST,ME,71241,2969621.43,4842
SCARBOROUGH,ME,41608,2756177.08,7499
SKOWHEGAN,ME,60179,2439712.71,3766
AUBURN,ME,44273,2285419.94,4822
CUPERTINO,CA,76751,2231741.78,14304
ELLSWORTH,ME,47369,2192071.4,3926
OAKLAND,CA,20180,1847408.72,2803
NEW YORK,NY,37541,1700971.31,12321
855-707-7328,MO,15640,1579247.02,6853
FARMINGTON,ME,35101,1561204.28,2561
BOSTON,MA,30477,1536718.81,5701
CHICAGO,IL,12278,1469712.15,5604
ROCKLAND,ME,27261,1414212.21,3289
LEWISTON,ME,46519,1367710.12,5149
LINCOLN,ME,32520,1338331.72,2194
BIDDEFORD,ME,26248,1311529.36,3083
HOULTON,ME,30979,1249708.98,1510
HAMPDEN,ME,24266,1215827.62,3840
OLD TOWN,ME,31836,1192656.05,3629
WINDHAM,ME,19418,1115960.42,2813
